filename,filepath,label,category,subdirectory
AU_TT_H_003.bmp,./data\ImSpliceDataset\Au-TT-H\AU_TT_H_003.bmp,0,authentic_Au-TT-H,Au-TT-H
SP_TT_O_078.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_078.bmp,1,forged_Sp-TT-O,Sp-TT-O
AU_TS_V_051.bmp,./data\ImSpliceDataset\Au-TS-V\AU_TS_V_051.bmp,0,authentic_Au-TS-V,Au-TS-V
AU_T_105.bmp,./data\ImSpliceDataset\Au-T\AU_T_105.bmp,0,authentic_Au-T,Au-T
AU_T_102.bmp,./data\ImSpliceDataset\Au-T\AU_T_102.bmp,0,authentic_Au-T,Au-T
AU_SS_V_016.bmp,./data\ImSpliceDataset\Au-SS-V\AU_SS_V_016.bmp,0,authentic_Au-SS-V,Au-SS-V
SP_TS_V_032.bmp,./data\ImSpliceDataset\Sp-TS-V\SP_TS_V_032.bmp,1,forged_Sp-TS-V,Sp-TS-V
SP_TT_O_159.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_159.bmp,1,forged_Sp-TT-O,Sp-TT-O
AU_SS_O_004.bmp,./data\ImSpliceDataset\Au-SS-O\AU_SS_O_004.bmp,0,authentic_Au-SS-O,Au-SS-O
AU_S_H_013.bmp,./data\ImSpliceDataset\Au-SS-H\AU_S_H_013.bmp,0,authentic_Au-SS-H,Au-SS-H
AU_TS_O_104.bmp,./data\ImSpliceDataset\Au-TS-O\AU_TS_O_104.bmp,0,authentic_Au-TS-O,Au-TS-O
AU_TS_V_080.bmp,./data\ImSpliceDataset\Au-TS-V\AU_TS_V_080.bmp,0,authentic_Au-TS-V,Au-TS-V
SP_T_045.bmp,./data\ImSpliceDataset\Sp-T\SP_T_045.bmp,1,forged_Sp-T,Sp-T
SP_TS_O_174.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_174.bmp,1,forged_Sp-TS-O,Sp-TS-O
SP_SS_H_017.bmp,./data\ImSpliceDataset\Sp-SS-H\SP_SS_H_017.bmp,1,forged_Sp-SS-H,Sp-SS-H
SP_SS_H_014.bmp,./data\ImSpliceDataset\Sp-SS-H\SP_SS_H_014.bmp,1,forged_Sp-SS-H,Sp-SS-H
SP_TT_O_129.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_129.bmp,1,forged_Sp-TT-O,Sp-TT-O
AU_TS_V_050.bmp,./data\ImSpliceDataset\Au-TS-V\AU_TS_V_050.bmp,0,authentic_Au-TS-V,Au-TS-V
SP_SS_O_037.bmp,./data\ImSpliceDataset\Sp-SS-O\SP_SS_O_037.bmp,1,forged_Sp-SS-O,Sp-SS-O
SP_TT_O_114.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_114.bmp,1,forged_Sp-TT-O,Sp-TT-O
SP_TS_O_015.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_015.bmp,1,forged_Sp-TS-O,Sp-TS-O
SP_TS_O_043.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_043.bmp,1,forged_Sp-TS-O,Sp-TS-O
SP_TT_H_032.bmp,./data\ImSpliceDataset\Sp-TT-H\SP_TT_H_032.bmp,1,forged_Sp-TT-H,Sp-TT-H
SP_T_108.bmp,./data\ImSpliceDataset\Sp-T\SP_T_108.bmp,1,forged_Sp-T,Sp-T
AU_S_H_043.bmp,./data\ImSpliceDataset\Au-SS-H\AU_S_H_043.bmp,0,authentic_Au-SS-H,Au-SS-H
SP_TT_H_045.bmp,./data\ImSpliceDataset\Sp-TT-H\SP_TT_H_045.bmp,1,forged_Sp-TT-H,Sp-TT-H
SP_TS_O_011.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_011.bmp,1,forged_Sp-TS-O,Sp-TS-O
AU_TS_H_099.bmp,./data\ImSpliceDataset\Au-TS-H\AU_TS_H_099.bmp,0,authentic_Au-TS-H,Au-TS-H
SP_SS_O_053.bmp,./data\ImSpliceDataset\Sp-SS-O\SP_SS_O_053.bmp,1,forged_Sp-SS-O,Sp-SS-O
SP_T_006.bmp,./data\ImSpliceDataset\Sp-T\SP_T_006.bmp,1,forged_Sp-T,Sp-T
AU_TT_O_014.bmp,./data\ImSpliceDataset\Au-TT-O\AU_TT_O_014.bmp,0,authentic_Au-TT-O,Au-TT-O
SP_TS_O_024.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_024.bmp,1,forged_Sp-TS-O,Sp-TS-O
SP_T_083.bmp,./data\ImSpliceDataset\Sp-T\SP_T_083.bmp,1,forged_Sp-T,Sp-T
SP_TT_O_161.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_161.bmp,1,forged_Sp-TT-O,Sp-TT-O
AU_S_030.bmp,./data\ImSpliceDataset\Au-S\AU_S_030.bmp,0,authentic_Au-S,Au-S
AU_TS_H_026.bmp,./data\ImSpliceDataset\Au-TS-H\AU_TS_H_026.bmp,0,authentic_Au-TS-H,Au-TS-H
SP_SS_V_024.bmp,./data\ImSpliceDataset\Sp-SS-V\SP_SS_V_024.bmp,1,forged_Sp-SS-V,Sp-SS-V
AU_TS_V_097.bmp,./data\ImSpliceDataset\Au-TS-V\AU_TS_V_097.bmp,0,authentic_Au-TS-V,Au-TS-V
AU_TS_O_049.bmp,./data\ImSpliceDataset\Au-TS-O\AU_TS_O_049.bmp,0,authentic_Au-TS-O,Au-TS-O
SP_SS_O_061.bmp,./data\ImSpliceDataset\Sp-SS-O\SP_SS_O_061.bmp,1,forged_Sp-SS-O,Sp-SS-O
AU_TT_V_021.bmp,./data\ImSpliceDataset\Au-TT-V\AU_TT_V_021.bmp,0,authentic_Au-TT-V,Au-TT-V
SP_TT_H_028.bmp,./data\ImSpliceDataset\Sp-TT-H\SP_TT_H_028.bmp,1,forged_Sp-TT-H,Sp-TT-H
SP_SS_H_005.bmp,./data\ImSpliceDataset\Sp-SS-H\SP_SS_H_005.bmp,1,forged_Sp-SS-H,Sp-SS-H
AU_TS_H_017.bmp,./data\ImSpliceDataset\Au-TS-H\AU_TS_H_017.bmp,0,authentic_Au-TS-H,Au-TS-H
AU_SS_V_011.bmp,./data\ImSpliceDataset\Au-SS-V\AU_SS_V_011.bmp,0,authentic_Au-SS-V,Au-SS-V
SP_TS_H_005.bmp,./data\ImSpliceDataset\Sp-TS-H\SP_TS_H_005.bmp,1,forged_Sp-TS-H,Sp-TS-H
SP_TT_O_148.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_148.bmp,1,forged_Sp-TT-O,Sp-TT-O
AU_TT_O_054.bmp,./data\ImSpliceDataset\Au-TT-O\AU_TT_O_054.bmp,0,authentic_Au-TT-O,Au-TT-O
AU_TS_O_005.bmp,./data\ImSpliceDataset\Au-TS-O\AU_TS_O_005.bmp,0,authentic_Au-TS-O,Au-TS-O
SP_SS_O_028.bmp,./data\ImSpliceDataset\Sp-SS-O\SP_SS_O_028.bmp,1,forged_Sp-SS-O,Sp-SS-O
SP_TS_O_008.bmp,./data\ImSpliceDataset\Sp-TS-O\SP_TS_O_008.bmp,1,forged_Sp-TS-O,Sp-TS-O
AU_TS_O_167.bmp,./data\ImSpliceDataset\Au-TS-O\AU_TS_O_167.bmp,0,authentic_Au-TS-O,Au-TS-O
SP_T_103.bmp,./data\ImSpliceDataset\Sp-T\SP_T_103.bmp,1,forged_Sp-T,Sp-T
SP_TT_O_034.bmp,./data\ImSpliceDataset\Sp-TT-O\SP_TT_O_034.bmp,1,forged_Sp-TT-O,Sp-TT-O
